-0.962065, -0.000734; -0.641755, 0.000000; 0.287617, 0.000000; -0.513226, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962065, 0.000000; -0.641755, 0.000000; 0.287617, 0.000000; -0.513226, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962065, 0.000000; -0.641755, 0.000000; 0.287617, 0.000000; -0.513233, -0.001453; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962069, -0.000734; -0.641751, 0.000734; 0.287617, 0.000000; -0.513233, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962069, 0.000000; -0.641747, 0.000734; 0.287617, 0.000000; -0.513233, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962072, -0.000734; -0.641747, 0.000000; 0.287617, 0.000000; -0.513233, 0.000000; 0.827487, 0.000000; -0.652007, 0.000000; 
-0.962072, 0.000000; -0.641743, 0.000734; 0.287614, -0.000734; -0.513226, 0.001453; 0.827479, -0.001453; -0.652007, 0.000000; 
-0.962076, -0.000734; -0.641740, 0.000734; 0.287614, 0.000000; -0.513226, 0.000000; 0.827479, 0.000000; -0.652007, 0.000000; 
-0.962080, -0.000734; -0.641736, 0.000734; 0.287614, 0.000000; -0.513226, 0.000000; 0.827479, 0.000000; -0.652007, 0.000000; 
-0.962080, 0.000000; -0.641736, 0.000000; 0.287614, 0.000000; -0.513226, 0.000000; 0.827479, 0.000000; -0.652007, 0.000000; 
-0.962076, 0.000734; -0.641736, 0.000000; 0.287614, 0.000000; -0.513218, 0.001453; 0.827479, 0.000000; -0.652007, 0.000000; 
-0.962076, 0.000000; -0.641736, 0.000000; 0.287614, 0.000000; -0.513218, 0.000000; 0.827472, -0.001453; -0.652007, 0.000000; 
-0.962072, 0.000734; -0.641736, 0.000000; 0.287614, 0.000000; -0.513218, 0.000000; 0.827472, 0.000000; -0.652007, 0.000000; 
-0.962069, 0.000734; -0.641733, 0.000734; 0.287610, -0.000734; -0.513211, 0.001453; 0.827472, 0.000000; -0.652007, 0.000000; 
-0.962069, 0.000000; -0.641722, 0.002201; 0.287610, 0.000000; -0.513211, 0.000000; 0.827465, -0.001453; -0.652007, 0.000000; 
-0.962069, 0.000000; -0.641703, 0.003668; 0.287606, -0.000734; -0.513204, 0.001453; 0.827465, 0.000000; -0.652007, 0.000000; 
-0.962072, -0.000734; -0.641677, 0.005135; 0.287599, -0.001467; -0.513197, 0.001453; 0.827457, -0.001453; -0.652007, 0.000000; 
-0.962080, -0.001467; -0.641637, 0.008070; 0.287592, -0.001467; -0.513189, 0.001453; 0.827457, 0.000000; -0.652007, 0.000000; 
-0.962087, -0.001467; -0.641582, 0.011004; 0.287588, -0.000734; -0.513175, 0.002906; 0.827450, -0.001453; -0.652007, 0.000000; 
-0.962102, -0.002934; -0.641490, 0.018340; 0.287584, -0.000734; -0.513168, 0.001453; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962113, -0.002201; -0.641369, 0.024209; 0.287584, 0.000000; -0.513168, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, -0.001467; -0.641256, 0.022742; 0.287584, 0.000000; -0.513168, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, 0.000000; -0.641160, 0.019074; 0.287584, 0.000000; -0.513146, 0.004358; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000734; -0.641076, 0.016873; 0.287577, -0.001467; -0.513124, 0.004358; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000000; -0.640999, 0.015406; 0.287570, -0.001467; -0.513102, 0.004358; 0.827443, -0.001453; -0.652007, 0.000000; 
-0.962113, 0.000734; -0.640904, 0.019074; 0.287559, -0.002201; -0.513095, 0.001453; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962113, 0.000000; -0.640790, 0.022742; 0.287544, -0.002934; -0.513073, 0.004358; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962113, 0.000000; -0.640628, 0.032279; 0.287522, -0.004402; -0.513051, 0.004358; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962113, 0.000000; -0.640405, 0.044750; 0.287493, -0.005869; -0.513037, 0.002906; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962113, 0.000000; -0.640152, 0.050619; 0.287452, -0.008070; -0.513037, 0.000000; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962116, -0.000734; -0.639913, 0.047684; 0.287419, -0.006602; -0.513037, 0.000000; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962116, 0.000000; -0.639682, 0.046217; 0.287383, -0.007336; -0.513037, 0.000000; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962120, -0.000734; -0.639466, 0.043283; 0.287339, -0.008803; -0.513029, 0.001453; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962124, -0.000734; -0.639235, 0.046217; 0.287280, -0.011738; -0.513029, 0.000000; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962131, -0.001467; -0.638989, 0.049152; 0.287188, -0.018340; -0.513015, 0.002906; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962131, 0.000000; -0.638677, 0.062356; 0.287060, -0.025676; -0.513000, 0.002906; 0.827443, 0.000000; -0.652007, 0.000000; 
-0.962131, 0.000000; -0.638266, 0.082164; 0.286902, -0.031545; -0.512993, 0.001453; 0.827450, 0.001453; -0.652007, 0.000000; 
-0.962127, 0.000734; -0.637800, 0.093168; 0.286744, -0.031545; -0.512993, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962124, 0.000734; -0.637353, 0.089500; 0.286598, -0.029344; -0.512993, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, 0.000734; -0.636898, 0.090967; 0.286477, -0.024209; -0.512993, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, 0.000000; -0.636443, 0.090967; 0.286374, -0.020541; -0.512993, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
-0.962120, 0.000000; -0.635970, 0.094635; 0.286275, -0.019807; -0.512993, 0.000000; 0.827450, 0.000000; -0.652007, 0.000000; 
